ˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉ
 NANO Node Vote Tallies → Grouped by [Root Hash] → Sorted by [Timestamp]
ˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍ
  498x ROOT: 4070C203A31F0C8DC895EEEAEB358D3806CD342B876E55B51AD75D2EE03FF25A
 MAIN BLOCK: 4FE0807D6666E4389381A91A34BAC3A06A906E67950722A6AB3476799A5271EA 
 FORK BLOCK: 070BFF6310BA814F2E94C22C5592F61A7D7D119CEDDB5DD751F60CFDE5D097DD
    MAIN BLOCK  |     FORK BLOCK  |                      TIMESTAMP
         75,39% |           0,13% |   [2018-06-18 03:46:09.292442]
         76,08% |           0,13% |   [2018-06-18 03:46:09.315436]
         76,08% |           0,13% |   [2018-06-18 03:46:09.346444]
         76,08% |           0,13% |   [2018-06-18 03:46:09.428491]
         76,08% |           0,13% |   [2018-06-18 03:46:10.574426]
         76,08% |           0,13% |   [2018-06-18 03:46:10.678003]
         76,08% |           0,13% |   [2018-06-18 03:46:10.771360]
         76,08% |           0,13% |   [2018-06-18 03:46:10.948565]
         76,08% |           0,13% |   [2018-06-18 03:46:11.208682]
         76,08% |           0,13% |   [2018-06-18 03:46:12.696353]
         76,08% |           0,13% |   [2018-06-18 03:46:13.437422]
         76,08% |           0,13% |   [2018-06-18 03:46:13.688280]
         76,08% |           0,13% |   [2018-06-18 03:46:13.699280]
         76,08% |           0,13% |   [2018-06-18 03:46:14.125516]
         76,08% |           0,13% |   [2018-06-18 03:46:14.655767]
         76,08% |           0,13% |   [2018-06-18 03:46:14.842854]
         76,08% |           0,13% |   [2018-06-18 03:46:15.069836]
         76,08% |           0,13% |   [2018-06-18 03:46:15.703446]
         76,08% |           0,13% |   [2018-06-18 03:46:15.766431]
         76,08% |           0,13% |   [2018-06-18 03:46:15.847652]
         76,08% |           0,13% |   [2018-06-18 03:46:16.000679]
         76,08% |           0,13% |   [2018-06-18 03:46:17.276280]
         76,08% |           0,13% |   [2018-06-18 03:46:17.545936]
         76,08% |           0,13% |   [2018-06-18 03:46:18.112828]
         76,08% |           0,13% |   [2018-06-18 03:46:18.859301]
         76,08% |           0,13% |   [2018-06-18 03:46:18.968323]
         76,08% |           0,13% |   [2018-06-18 03:46:19.049313]
         76,08% |           0,13% |   [2018-06-18 03:46:19.932105]
         47,34% |           0,00% |   [2018-06-18 04:12:53.838881]
         47,34% |           0,00% |   [2018-06-18 04:12:53.852873]
         48,04% |           0,00% |   [2018-06-18 04:12:53.855881]
         48,04% |           0,00% |   [2018-06-18 04:12:54.152886]
         48,68% |           0,00% |   [2018-06-18 04:12:54.155874]
         52,20% |           0,00% |   [2018-06-18 04:12:54.158877]
         52,20% |           0,00% |   [2018-06-18 04:12:54.159873]
         52,62% |           0,00% |   [2018-06-18 04:12:54.161893]
         52,62% |           0,00% |   [2018-06-18 04:12:54.449505]
         53,44% |           0,00% |   [2018-06-18 04:12:54.475453]
         54,27% |           0,00% |   [2018-06-18 04:12:54.992536]
         62,69% |           0,00% |   [2018-06-18 04:12:55.147048]
         62,69% |           0,13% |   [2018-06-18 04:12:55.257186]
         62,69% |           0,13% |   [2018-06-18 04:12:55.451293]
         62,69% |           0,13% |   [2018-06-18 04:12:55.523022]
         65,42% |           0,13% |   [2018-06-18 04:12:55.645343]
         75,43% |           0,13% |   [2018-06-18 04:12:55.647354]
         75,86% |           0,13% |   [2018-06-18 04:12:55.778728]
         75,86% |           0,13% |   [2018-06-18 04:12:56.360997]
         75,86% |           0,13% |   [2018-06-18 04:12:56.539225]
         75,86% |           0,13% |   [2018-06-18 04:12:57.035774]
         75,86% |           0,13% |   [2018-06-18 04:12:57.195770]
         75,86% |           0,13% |   [2018-06-18 04:12:58.459867]
         75,86% |           0,13% |   [2018-06-18 04:12:59.208908]
         75,86% |           0,13% |   [2018-06-18 04:12:59.329979]
         75,86% |           0,13% |   [2018-06-18 04:12:59.541634]
         75,86% |           0,13% |   [2018-06-18 04:13:00.229230]
         75,86% |           0,13% |   [2018-06-18 04:13:00.756861]
         75,86% |           0,13% |   [2018-06-18 04:13:00.848371]
         75,86% |           0,13% |   [2018-06-18 04:13:00.875392]
         75,86% |           0,13% |   [2018-06-18 04:13:01.127031]
         75,86% |           0,13% |   [2018-06-18 04:13:01.195089]
         75,86% |           0,13% |   [2018-06-18 04:13:01.206221]
         75,86% |           0,13% |   [2018-06-18 04:13:01.226326]
         75,86% |           0,13% |   [2018-06-18 04:13:01.319543]
         75,86% |           0,13% |   [2018-06-18 04:13:01.697335]
         75,86% |           0,13% |   [2018-06-18 04:13:02.440931]
         75,86% |           0,13% |   [2018-06-18 04:13:02.480931]
         75,86% |           0,13% |   [2018-06-18 04:13:02.799131]
         75,86% |           0,13% |   [2018-06-18 04:13:02.856427]
         75,86% |           0,13% |   [2018-06-18 04:13:02.946395]
         75,86% |           0,13% |   [2018-06-18 04:13:02.979362]
         75,86% |           0,13% |   [2018-06-18 04:13:03.127041]
         75,86% |           0,13% |   [2018-06-18 04:13:04.271272]
         75,86% |           0,13% |   [2018-06-18 04:13:04.684966]
         75,86% |           0,13% |   [2018-06-18 04:13:04.803214]
         75,86% |           0,13% |   [2018-06-18 04:13:05.871455]
         75,86% |           0,13% |   [2018-06-18 04:13:06.902278]
         75,86% |           0,13% |   [2018-06-18 04:13:07.049803]
         75,86% |           0,13% |   [2018-06-18 04:13:07.060886]
         75,86% |           0,13% |   [2018-06-18 04:13:07.076886]
         75,86% |           0,13% |   [2018-06-18 04:13:07.166206]
         75,86% |           0,13% |   [2018-06-18 04:13:07.186204]
         75,86% |           0,13% |   [2018-06-18 04:13:07.225266]
         75,86% |           0,13% |   [2018-06-18 04:13:09.206862]
         75,86% |           0,13% |   [2018-06-18 04:13:09.217896]
         75,86% |           0,13% |   [2018-06-18 04:13:09.284246]
         75,86% |           0,13% |   [2018-06-18 04:13:09.340676]
         76,08% |           0,13% |   [2018-06-18 04:13:09.349677]
         76,08% |           0,13% |   [2018-06-18 04:13:09.361681]
         76,08% |           0,13% |   [2018-06-18 04:13:09.372678]
         76,08% |           0,13% |   [2018-06-18 04:13:09.384688]
         76,08% |           0,13% |   [2018-06-18 04:13:10.135086]
         76,08% |           0,13% |   [2018-06-18 04:13:11.089345]
         76,08% |           0,13% |   [2018-06-18 04:13:12.318985]
         76,08% |           0,13% |   [2018-06-18 04:13:12.343001]
         76,08% |           0,13% |   [2018-06-18 04:13:12.361048]
         76,08% |           0,13% |   [2018-06-18 04:13:12.382827]
         76,08% |           0,13% |   [2018-06-18 04:13:12.551056]
         76,08% |           0,13% |   [2018-06-18 04:13:12.982016]
         76,08% |           0,13% |   [2018-06-18 04:13:14.198896]
         76,08% |           0,13% |   [2018-06-18 04:13:23.704030]
         76,08% |           0,13% |   [2018-06-18 04:13:23.790031]
         76,08% |           0,13% |   [2018-06-18 04:13:23.800027]
         76,08% |           0,13% |   [2018-06-18 04:13:23.830026]
         76,08% |           0,13% |   [2018-06-18 04:13:23.841030]
         76,08% |           0,13% |   [2018-06-18 04:13:23.851037]
         76,08% |           0,13% |   [2018-06-18 04:13:23.928128]
